mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr
mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,1,2,[0.05387547 0.04197459 0.12911626],[0.06866752 0.16049035 0.1454629 ],[0.11679503 0.3737822  0.13870101],[0.30717435 0.5105872  0.23150947],16,-0.6162072877058008,0.5752406120300293,-0.03031483205927299,-0.5953043538079683,0.6647657155990601,-0.2581792767230404,"[0.48106440885297963, 0.5075455366833113, 0.2390904412411396, 0.5347864196853744, 0.5083989970935148, 0.375996624785144, 0.5601858827105081, 0.3570393152331426, 0.3826983426628153]","[0.4703438952992208, 0.5004419757002986, 0.2520057455396097, 0.5342244000375546, 0.4946749578438922, 0.36528320451796104, 0.5619388397434525, 0.34979787753780844, 0.37961466910349045]","[0.5179988707151608, 0.544150912200315, 0.2395597487390087, 0.588957395744665, 0.5536544040669307, 0.4148949960660038, 0.568922422127816, 0.3990664448389486, 0.43164206475638756]","[0.5284010387502085, 0.522055429527102, 0.21637134203535152, 0.532046323009679, 0.5433053636714977, 0.4315892882531945, 0.549908750496165, 0.38732064146482104, 0.3672351106581274]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,1,2,[0.26607068 0.20774215 0.03234658],[0.92306012 0.64777522 0.15658452],[0.88351336 0.64016208 0.13904894],[0.8927418  0.65973967 0.24706246],576,0.47165585958901524,0.14397510886192322,0.49599985319325623,0.5587097293737905,0.13211998343467712,0.6872507657129404,"[0.8587605829865226, 0.9435898375231666, 0.809328808103665, 0.24851011639071596, 0.5240922344559719, 0.599405967710227, 0.8698642891838408, 0.7420464231252614, 0.9245924432482553]","[0.8494539794955279, 0.9430424825798018, 0.8041180851275982, 0.2405135121005535, 0.508120781290699, 0.5816375821500877, 0.8689022431209527, 0.7362651722832325, 0.9242776363366498]","[0.8934982999605041, 0.9471697897661453, 0.8311225810162544, 0.27651355197493527, 0.5885106078129605, 0.6449171238506748, 0.883313561410315, 0.7819982992001486, 0.9339486106674955]","[0.8817047417498673, 0.9444665111116481, 0.820179242570469, 0.2824813733428124, 0.5597805770736188, 0.6568305149064819, 0.8670810442333698, 0.7503411365022652, 0.9214544131870561]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,1,0,[0.06656977 0.0083145  0.07046136],[0.50224682 0.54719981 0.42333883],[0.24390336 0.21720352 0.23071049],[0.31626328 0.22450816 0.3269155 ],100,0.49714393990067357,0.271320104598999,0.3079261760734685,0.445260233230377,0.27929431200027466,0.27272778304873646,"[0.39579575185486227, 0.575033441374504, 0.8351558277217807, 0.799813769288483, 0.4026634800436763, 0.7935821506148542, 0.7436153078864074, 0.5445060731249045, 0.7015137559475475]","[0.42420841423213473, 0.6182134988022482, 0.889889360582672, 0.8403839809033621, 0.45211695653716105, 0.809612683058773, 0.7853280755547725, 0.5757169236376329, 0.7325305734845131]","[0.3774100006986642, 0.5242395885790667, 0.8718219245649692, 0.8032772571459752, 0.3707481089594955, 0.8101879465697139, 0.7305223274193076, 0.5432102707559356, 0.6990240651584225]","[0.32274147884040816, 0.45902020370322644, 0.7012886903163842, 0.6684273482751444, 0.29533481522339444, 0.7247549141767182, 0.6056159309147106, 0.4415980816642275, 0.6039904492192765]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,1,0,[0.10849808 0.01810837 0.08133202],[0.53807207 0.70356089 0.80409004],[0.28476175 0.42258456 0.56064827],[0.41587885 0.08235065 0.5226733 ],49,0.05110599911715974,0.2001824826002121,0.28515730814814444,-0.08043660582413081,0.2585028409957886,0.07526383487922317,"[0.4432441156198497, 0.47452219658348643, 0.26685936096847446, 0.23889306466938787, 0.8085850437879383, 0.3507708726097323, 0.22343494120585877, 0.3552437563548551, 0.4299089615550072]","[0.47976111303548125, 0.5032602347767222, 0.3101640574004597, 0.2758653781457251, 0.8272171909842696, 0.38798614867155223, 0.24839322589504703, 0.38050093174700045, 0.45120829435758214]","[0.4981423942045668, 0.47409352113759495, 0.2886974206220234, 0.2763455595793715, 0.8267221344778029, 0.36978402694733536, 0.26390012508336674, 0.39232594681921673, 0.49143055116593587]","[0.33404252248445326, 0.3914896218739846, 0.1507550973083534, 0.14914877095655205, 0.7457873962262891, 0.24647723296087426, 0.16088580023695187, 0.2879132850346558, 0.3321372367910376]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,1,0,[0.00510558 0.01834421 0.02104436],[0.57925323 0.81456042 0.62204338],[0.25606711 0.45759794 0.25419288],[0.27819354 0.12872189 0.15500507],25,-0.530271704289495,0.38578128814697266,0.14619650989143995,-0.7901415615941141,0.47325536608695984,-0.2862912681865455,"[0.7066602769805305, 0.9525917484639118, 0.9352365501633811, 0.9581293475546362, 0.6357845916899694, 0.7381785249423181, 0.9545474473003608, 0.525282609060369, 0.9306699010554611]","[0.7249625335596613, 0.9590757909487564, 0.9409651729050812, 0.965130209681824, 0.6438880499425071, 0.7539395668619047, 0.9611823323757152, 0.5382136878866359, 0.9366506421920698]","[0.6611125803832936, 0.9430688890305645, 0.9270369516710258, 0.9470732979464265, 0.6310403660064945, 0.6869185050807463, 0.945983048514615, 0.5351598026339446, 0.9195019194171977]","[0.6630422117251639, 0.9333774768028357, 0.9196148174863616, 0.9391202868384526, 0.6059280306447901, 0.7275930651591382, 0.9342070457851155, 0.47609265507413273, 0.9143812605153816]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,1,0,[0.08508859 0.06602889 0.03145329],[0.65169645 0.86050378 0.69386813],[0.42067297 0.63462244 0.276842  ],[0.53008239 0.6646891  0.17955935],121,0.013748955627321443,0.19268855452537537,0.248863801566511,0.2556383989421985,0.2392597794532776,0.32912506301972455,"[0.9385686226444387, 0.9133559427462511, 0.7573712918435691, 0.944147164943949, 0.9226867422411562, 0.5440979505997638, 0.9064888460957632, 0.9588937524453568, 0.8360682235243868]","[0.9414301748923708, 0.9139276578092694, 0.754209418714246, 0.9488863426235556, 0.9240262744100503, 0.5395408275441823, 0.9083320931947865, 0.9611026712319826, 0.8417100690712681]","[0.9421734118544454, 0.9136459864227949, 0.7627132655929656, 0.9461570488720292, 0.9196874423816757, 0.5587762494579191, 0.9099579754493812, 0.9591674610795826, 0.8248002632881006]","[0.9308648646475347, 0.9123231416586204, 0.7648460049319021, 0.9292994476561808, 0.9225877571577774, 0.5539586995807588, 0.9008369833686277, 0.9536633757899438, 0.8250580337726935]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,2,2,[0.09235289 0.22600439 0.19335823],[0.27244293 0.36996675 0.53721409],[0.14790209 0.22015873 0.42088469],[0.14879329 0.22543146 0.30845172],484,-0.09199636392026367,0.37715816497802734,0.16953283901433147,-0.26250437558757117,0.35528284311294556,0.24224700435415092,"[0.5988373115633986, 0.6351577016183996, 0.788422518650923, 0.7317061979412587, 0.5037878407848005, 0.6538505274203792, 0.6383430610018213, 0.7987601160399357, 0.482754415120732]","[0.5930798842900544, 0.6181146260576755, 0.7639475113697267, 0.7195515297219752, 0.49314997037294334, 0.6273435723776042, 0.6237500839100715, 0.7854053267532317, 0.46928036214012353]","[0.6068341089216973, 0.6338393188576836, 0.8570087439013347, 0.7429706813267766, 0.5864424509349923, 0.7401914711680886, 0.6215908284725264, 0.7799214531575407, 0.5463523171215822]","[0.6157711433792679, 0.6859771786556134, 0.8466690110207775, 0.7775507517908141, 0.5493827692164193, 0.7273375342496398, 0.6950364671433209, 0.8459464374506829, 0.5204175857334974]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,2,2,[0.15838826 0.22435927 0.20850298],[0.28010238 0.57273418 0.76238698],[0.13579149 0.4576986  0.61740894],[0.11457031 0.51589871 0.69391788],100,0.20410008848544714,0.21323776245117188,0.5325861605527166,0.23518004966617845,0.2110985517501831,0.6206863556675737,"[0.024920752082837783, 0.32946301333272016, 0.38295110400828036, 0.23857633773791842, 0.36260060604706557, 0.10690907934102828, 0.0670104668502231, 0.32687428166775656, 0.3031714771761501]","[0.02543120394978282, 0.33846936191675325, 0.39664690888927945, 0.245073614234311, 0.3721569995548325, 0.11512458054778019, 0.06939268465409165, 0.3325233195549651, 0.3131419901042498]","[0.02275517243381614, 0.30307822997866074, 0.3424621961879196, 0.22427643962467653, 0.3328194759047105, 0.08564062040913467, 0.057072994216228246, 0.3135607377451278, 0.2675465899771955]","[0.030422662037814685, 0.3182745993778188, 0.37113241151591964, 0.2302015478351232, 0.3565486875150248, 0.09649277336426254, 0.06700766885594128, 0.31951998480275595, 0.2985875722024482]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,2,2,[0.26385415 0.126215   0.27921495],[0.40458108 0.59650623 0.67560863],[0.27122705 0.54802851 0.61319688],[0.21190485 0.51524912 0.58794639],256,-0.42801053241528003,0.4685423672199249,0.18220599621132505,-0.2809448740362706,0.5637496709823608,0.00960017296119342,"[0.6088966266264916, 0.5211283548183119, 0.4372116843712159, 0.516724224721249, 0.7400972128883674, 0.451951101251213, 0.580839221195913, 0.42936447081574197, 0.7450214896349947]","[0.5921120655267892, 0.5150415100415755, 0.4504143814885731, 0.49638950497186934, 0.7362811933664727, 0.45321459913043044, 0.587748210473285, 0.41759459593920245, 0.7665888062309331]","[0.6489452627335817, 0.5549298094174326, 0.41858710955414347, 0.5986906432698564, 0.7435003866467125, 0.476710094550256, 0.5970655424971167, 0.4948969334213232, 0.7177423850322222]","[0.6688345863852385, 0.5245560413876792, 0.4087493848903299, 0.5623371189212764, 0.757044799676778, 0.46961210605847187, 0.5477449704535939, 0.4575713957761763, 0.6607442007574195]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,2,2,[0.23259551 0.24357006 0.24402087],[0.52211069 0.74590565 0.57306097],[0.48168827 0.56865776 0.43483629],[0.24264516 0.69997579 0.49662132],81,0.5198764476607953,0.13933640718460083,0.5205469202031168,0.6343487614929193,0.13781166076660156,0.6811212531936359,"[0.8374382436146484, 0.9423554520191844, 0.8260055957518693, 0.2966930215198646, 0.5779185851330224, 0.6196298268810668, 0.893191695426487, 0.7342950589795987, 0.9216442271890309]","[0.8235335940672182, 0.9416792466273675, 0.817915639469031, 0.28709452807517366, 0.5637687185180327, 0.6002182948274786, 0.8895844332633198, 0.7249609121402674, 0.9183453256535086]","[0.8776665255583419, 0.946523652297835, 0.8476525944371592, 0.324257156950956, 0.625924676643332, 0.6639790500150871, 0.9064315330966785, 0.7767194132793003, 0.9331641934491223]","[0.8789281529898612, 0.9435506962369549, 0.8514858420923808, 0.34013742134878067, 0.619670393008243, 0.6862875759110825, 0.9021940741117325, 0.7613657760051283, 0.9302637934192138]"
