num_hidden_units,model_architecture,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,model_architecture,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,1,1,2,[0.68762641 0.61844941 0.7181822 ],[0.62911501 0.48971944 0.63900815],[0.34847068 0.28553161 0.41489318],[0.46745779 0.39914101 0.54428351],1,-0.3655328386736276,0.23733067512512207,-0.3129282671823117,-0.6050761384532174,0.3070606589317322,-0.3714792745401141,"[0.9347226731811613, 0.9387265067815237]","[0.9347784965418362, 0.9345331580323619]","[0.9266413161694275, 0.9493308714142509]","[0.9381429714776143, 0.9511903744774374]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,2,1,2,[0.67726755 0.53688087 0.62592251],[0.63032756 0.45281373 0.56173667],[0.51255745 0.22192043 0.43073712],[0.57880654 0.28453979 0.54628844],25,-0.5352781808563747,0.5619478225708008,0.04403639062333142,-0.34284462849558034,0.4254608154296875,-0.023980958575730682,"[0.7019641439298906, 0.6218547135762433]","[0.6990052086469674, 0.6020980761550647]","[0.7189257569529306, 0.6806468414948835]","[0.7140471641838181, 0.6769297891293512]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,3,1,2,[0.82424578 0.70379953 0.69388157],[0.77210206 0.6238806  0.60356267],[0.72191102 0.28861801 0.47188209],[0.68582668 0.42384647 0.59468631],25,-0.12287789005778064,0.26512348651885986,0.09993045111352472,-0.1860099100445578,0.2755391597747803,-0.11855796818846409,"[0.9451705150703966, 0.9413589525763189]","[0.9430974578041639, 0.9406333792307588]","[0.9475387120457048, 0.9441371073744715]","[0.9538717116307295, 0.9422785590974826]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,0,0,1,[0.65343747 0.61125435 0.80712133],[0.65920972 0.56464254 0.79565787],[0.30600788 0.46140516 0.59612224],[0.48161688 0.57136045 0.68914568],25,0.48941648234905966,0.1391579508781433,0.615047242511078,0.6104683590987464,0.10052680969238281,0.7544370141134247,"[0.8993058982769638, 0.88416216598891]","[0.8946051452088146, 0.8829147845123978]","[0.890198129266296, 0.8797447318115169]","[0.9211869797590241, 0.8876814282637012]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,1,0,1,[0.41844295 0.59275985 0.50593463],[0.36422124 0.54996468 0.47129692],[0.22492204 0.24703214 0.20593291],[0.31352558 0.3886445  0.21004602],9,-0.5710632053783705,0.3023545742034912,-0.43212973807261124,-0.44745730288122876,0.24724984169006348,-0.0756655593988893,"[0.9319824961186827, 0.7918868792029894]","[0.9262040580568466, 0.781721182534456]","[0.9558851076434113, 0.8639464077611527]","[0.9433193513774972, 0.8576830016709226]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,2,0,1,[0.65574089 0.6464805  0.43377026],[0.55876966 0.60190557 0.3801818 ],[0.46485211 0.30548538 0.37339203],[0.58741067 0.41725077 0.38052034],25,-0.5348656956596858,0.4773668050765991,-0.012504670802195195,-0.45874793111812046,0.4395732581615448,0.05312970914928439,"[0.9534238925696007, 0.9571368864200238]","[0.9525189302977807, 0.9566024682644437]","[0.955843590418621, 0.9568476851976064]","[0.9575110675949662, 0.9605938962118348]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,3,0,1,[0.76359146 0.79769378 0.719174  ],[0.73709388 0.76178489 0.66882083],[0.50801289 0.39502826 0.53358896],[0.69051529 0.44689775 0.51264344],25,-0.2793475744230459,0.34260478615760803,0.1501908528791529,-0.2301590740914802,0.3253442645072937,0.04030488857350045,"[0.9356633760212634, 0.9413585824695798]","[0.9316776780753989, 0.9365931301306482]","[0.9442177113913649, 0.9489673370573701]","[0.9393212474896769, 0.9472452589601593]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,0,2,2,[0.62061426 0.65657648 0.82783119],[0.56053352 0.59826174 0.80397484],[0.35964352 0.43912118 0.72686429],[0.46667094 0.62828819 0.70582088],25,0.3607456843500623,0.14290596544742584,0.6846361847676826,0.42447814318044164,0.1201813817024231,0.6992039029131554,"[0.8708178350123564, 0.8986341130865076]","[0.872081419935456, 0.9002021508122763]","[0.8658369574425238, 0.8911394780337586]","[0.869173077426478, 0.8975080359355858]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,1,2,2,[0.71815261 0.68395375 0.69582101],[0.68517856 0.57271811 0.61185512],[0.38233509 0.28276812 0.40276375],[0.44424731 0.38960429 0.50181752],1,-0.3626655753663807,0.23926615715026855,-0.28944053999572117,-0.5988179711573723,0.2981119751930237,-0.3702749213423946,"[0.9564244582848378, 0.9335766536414195]","[0.9553174384010076, 0.9316278063200604]","[0.9605056849689637, 0.9365577422749326]","[0.9590476209470986, 0.9341529061033738]"
64,offset1-model,3,/logs,0.1612318439364826,cebra-time,-1,0,0.0001300934019864,20000,1000,10,1,2,2,2,[0.78106028 0.54123131 0.68628268],[0.75131923 0.42574732 0.59248564],[0.52081514 0.25022139 0.45486846],[0.64267383 0.35705709 0.62707978],25,-0.6585053464771128,0.5088826417922974,-0.3243786696902873,-1.0569749072142305,0.6404761075973511,-1.0312012288221233,"[0.8228523823763384, 0.7375915234710736]","[0.8221766133501266, 0.7302185509010446]","[0.8252425981390247, 0.7506432049425268]","[0.8228629537505269, 0.7578209396947369]"
