n_components,metric,n_jobs,logdir,algorithm,n_neighbors,steps,min_dist,offset_left,offset_right
n_components,metric,n_jobs,logdir,algorithm,n_neighbors,steps,min_dist,offset_left,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,0,0,[0.37732847 0.40151317 0.23970603],[0.70823306 0.37314565 0.59901965],[0.28618242 0.16297679 0.17224664],[0.05741087 0.07245998 0.03186121],25,-0.43120624337409236,0.504924476146698,0.05301672197031293,-0.47348925779764034,0.5580335855484009,-0.3277546577826882,"[0.6927431327015463, 0.6583981845620959, 0.6134749523407966, 0.6586036292241243, 0.6621126105679953, 0.4007863136548899, 0.49602131939497024, 0.6254544266798657, 0.6739586544316069]","[0.7021732088264052, 0.6298629322369216, 0.61965260737525, 0.6253354801603479, 0.6328996333904509, 0.3975159961394164, 0.47091786367854227, 0.5790390946880741, 0.6267860524363289]","[0.7301613498951182, 0.7100986236895989, 0.6245975092773112, 0.6990013534632498, 0.7128311290370639, 0.42391995629647866, 0.52660400614639, 0.6674888015148164, 0.7352907125622826]","[0.6455029955488367, 0.6825516899455312, 0.5809322164196499, 0.7020930003086301, 0.6737425149582155, 0.3895862044089231, 0.5240004881151954, 0.6670393272626819, 0.7435855452051379]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,0,0,[0.85424505 0.35231865 0.26695555],[0.87024706 0.27391525 0.60729965],[0.60558986 0.07163568 0.15195218],[0.54767917 0.21757702 0.0215958 ],25,-0.20519504943967962,0.43617916107177734,-0.08586040464545608,0.0381597317359658,0.40016835927963257,0.06724152789838733,"[0.9661986530768254, 0.9657850442513498, 0.9664080519876863, 0.9663111654900474, 0.9664319878828407, 0.9656765089723239, 0.9703236446628041, 0.9686455097895237, 0.9643329923835376]","[0.972025537365987, 0.9715707038781345, 0.971737338566951, 0.9704082600212502, 0.9702428689124492, 0.9713167274448065, 0.9761060919981779, 0.973239299914146, 0.9734518039768935]","[0.957760443214352, 0.9539772672531869, 0.9573536797039341, 0.9524087922759721, 0.9547240057469817, 0.9476211291200296, 0.9590775778923237, 0.9562023426790145, 0.941822947435238]","[0.9512605226685966, 0.9524157354443197, 0.9535235849735804, 0.9592931334529184, 0.9590244304861125, 0.9565139483383578, 0.9576972069801972, 0.9595366039418123, 0.9469035928027147]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,1,0,[0.07424286 0.68237428 0.80304801],[0.08702925 0.74321683 0.79275464],[0.08377882 0.55504156 0.65576838],[0.00612004 0.19505514 0.59785888],16,0.19526155256060804,0.1361732929944992,0.5328096618972578,0.442219574862407,0.1279909610748291,0.6781077435165773,"[0.9879851180787528, 0.9880433529221764, 0.9867506499485456, 0.9890872203277401, 0.9887706982284509, 0.9908218491033534, 0.9878302180897625, 0.990254593272166, 0.9899014791903477]","[0.9868303802066528, 0.9879001743346023, 0.9843956678737811, 0.9881755291747357, 0.9887526129190062, 0.9889926939476519, 0.9866037209670724, 0.988359720664981, 0.9885585395825891]","[0.985505958387026, 0.9845649249795363, 0.9918468728741683, 0.9844622467921336, 0.9823159068623777, 0.9909945059843003, 0.9856870036280094, 0.9945303426900007, 0.989583781234467]","[0.9932822624879325, 0.9905656199676671, 0.9906994982790568, 0.9948567878937046, 0.9929829778305199, 0.9962702456998433, 0.9931158444876478, 0.9932626788694878, 0.994139778814156]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,1,0,[0.0619043  0.1364882  0.10927808],[0.07680453 0.04094254 0.0884351 ],[0.0400033  0.16276704 0.04870097],[0.00700718 0.01741465 0.12097106],25,-0.13815391653675055,0.2320854663848877,0.20049222511747267,-0.011493758726500491,0.2526756525039673,0.25783506069463613,"[0.6013088324453006, 0.5860995039808099, 0.5943404141846158, 0.9410348324902162, 0.5862131241992159, 0.5541341969879767, 0.48210173704896475, 0.6028740904438906, 0.5664518594237207]","[0.6058013296006352, 0.5920492709097666, 0.6122102837749269, 0.9444877326724792, 0.5967348247612665, 0.5601681562925105, 0.4750677673686845, 0.613902318945779, 0.5852991532109011]","[0.5524569987268357, 0.5348993197420198, 0.5331115778020418, 0.9350554291054123, 0.5261069573881975, 0.5341446267389046, 0.44158138989602336, 0.529177319713473, 0.4965024495171471]","[0.6079151483558982, 0.5855676711571174, 0.5689044000453034, 0.9324527134734287, 0.5813156564369839, 0.5358108670190811, 0.5165592377072126, 0.6049190160921234, 0.5454019893300814]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,1,0,[0.55059121 0.07164796 0.46488053],[0.70017834 0.06318643 0.61542155],[0.3209071  0.0626736  0.23657919],[0.13942501 0.02571196 0.012692  ],25,-0.5415378103543335,0.578819751739502,-0.054351894243491516,-0.7139860224718767,0.5629929900169373,-0.3447010912088948,"[0.7025805630336497, 0.6234331063363607, 0.722214622860768, 0.5713893245435544, 0.6041965630916463, 0.4769245502098442, 0.4323590530075915, 0.6959342452930661, 0.6547688651825986]","[0.7164170715847543, 0.5996729725654666, 0.7643125618420323, 0.5569594916040427, 0.5731139611870173, 0.46546743247261974, 0.4206436187828317, 0.6602148532107036, 0.643800648816745]","[0.7571363094548526, 0.6762867654830997, 0.7230238700268043, 0.6279809636726489, 0.6517563866898074, 0.5021433567900494, 0.4896300117813975, 0.728740338784964, 0.7140404030426969]","[0.6395842770196979, 0.6591244907561178, 0.6399092668490853, 0.5870416594213418, 0.6498372115988832, 0.47803059898264, 0.4141245865421654, 0.7299350630002821, 0.6489384717054041]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,1,0,[0.86345505 0.13216004 0.52362387],[0.79831624 0.12666297 0.6722751 ],[0.6392515  0.04725863 0.23927773],[0.67919793 0.08948072 0.07328838],25,-0.1937999660515989,0.4357246458530426,-0.06345958651801675,0.0431050805713414,0.3954974412918091,0.07266667159686968,"[0.9663232689168044, 0.9673973064708618, 0.9669902744711267, 0.969237257561379, 0.9670629609097496, 0.966821428776126, 0.9684182369679366, 0.9708490947198702, 0.9682679749167395]","[0.97219087181142, 0.9714282412862596, 0.971389550163623, 0.9727032068800865, 0.9712546699593745, 0.9708080673833288, 0.9735919782217055, 0.9746776319465567, 0.9736934196618866]","[0.9576555115145555, 0.9495879216105838, 0.9457033027790867, 0.9597975518872623, 0.9498701581972417, 0.9458548781771687, 0.9581594522042465, 0.9607999484185199, 0.951530542751485]","[0.9513858283354456, 0.9618932187212201, 0.963091475018125, 0.9617137377888809, 0.9616684022998016, 0.9637332953016888, 0.956445463505619, 0.9629036222696872, 0.9585339112945912]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,2,1,[0.6594741  0.59685964 0.79034029],[0.55055472 0.45311933 0.78316663],[0.36574019 0.59593995 0.67743154],[0.32116213 0.62466155 0.72276945],25,0.09495096946369586,0.15435349941253662,0.5354435817260423,0.38170489824096626,0.12392383813858032,0.6444999066006323,"[0.9914469471496502, 0.9880345968186179, 0.990009446830552, 0.9898976348116455, 0.9919145932927158, 0.9883691779944173, 0.9914002365583436, 0.9921749693395716, 0.9920286045371489]","[0.9905505940387733, 0.9865832495990733, 0.9892473168922267, 0.9882179331885765, 0.9905454396906147, 0.9875596696608016, 0.9907820185431702, 0.9912141206158895, 0.9912408635704317]","[0.9889960722725091, 0.9890277151579261, 0.9855613092747395, 0.9892966792872806, 0.9911402146214179, 0.9877433787494809, 0.988696259259868, 0.9935801696935875, 0.9927533777305089]","[0.9962728423597372, 0.9920286035211575, 0.9959035830201288, 0.9959338609485545, 0.9970252960534652, 0.9914941866897968, 0.9954209914473819, 0.9943404233900344, 0.9940063750458497]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,2,1,[0.40262439 0.59886537 0.23187922],[0.37213198 0.53102845 0.15234243],[0.32780036 0.51911405 0.19627312],[0.29108787 0.47545061 0.15797779],25,-0.17529069333641503,0.2275148332118988,0.3190975622807237,-0.12828490588756233,0.24325013160705566,0.42892874155370386,"[0.9092842604951591, 0.5525700369663701, 0.941326089025856, 0.5925307164616953, 0.9318430738816916, 0.8798097553054225, 0.7428185162587249, 0.9485629928432135, 0.9445798679868487]","[0.8991057115936378, 0.5516776847577838, 0.9400328032283145, 0.5900678722847399, 0.933760402979488, 0.8714888663924172, 0.7503572715631892, 0.9517748132876851, 0.9436782323336217]","[0.953451442884244, 0.6292675871698259, 0.9671013060084541, 0.6648172330243637, 0.9453911311486151, 0.8904306274647986, 0.7333466833341293, 0.9611295333597051, 0.9657955038841903]","[0.913508165324131, 0.515209165956205, 0.9297959773911776, 0.5624989897322954, 0.9167868877668958, 0.9013120553142977, 0.7276002656611731, 0.9303099975024396, 0.9346325047083147]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,2,1,[0.47319559 0.56004681 0.3053992 ],[0.35791061 0.50023144 0.18657241],[0.56718902 0.46883159 0.45024958],[0.60990276 0.23137991 0.33851363],16,-0.37000043387727155,0.4875930845737457,0.00754702724545242,-0.4242154253707347,0.47967293858528137,-0.016966450754412277,"[0.6640089322854521, 0.5904215930732883, 0.41052979907739745, 0.8348526623976007, 0.8643207044950177, 0.34991644239269976, 0.37703287127631796, 0.8131425278059692, 0.7539006004547428]","[0.6689672978851056, 0.599750017579815, 0.4193522315425645, 0.8282146826655412, 0.8597472695366185, 0.3472519101458835, 0.37420491618244794, 0.8109691878486193, 0.7464251861629925]","[0.6471586556976635, 0.5339197995930076, 0.3387858557518634, 0.846818493595771, 0.8707298791150122, 0.3568383734351211, 0.4041336853504249, 0.8166809562257413, 0.8063058089414906]","[0.6525638067232589, 0.572180145841496, 0.42206314649333787, 0.872818258017111, 0.8900207002494334, 0.3793506886168341, 0.4008922490294103, 0.8245372916154584, 0.7670619012261704]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,2,1,[0.86621286 0.28228332 0.36953824],[0.82658725 0.18120066 0.2547553 ],[0.7411731  0.22970205 0.48930269],[0.74744211 0.16758531 0.42214136],25,-0.05599836806179711,0.44936954975128174,0.1315532280307623,-0.1120157707730719,0.4332110285758972,0.024319742104244813,"[0.9659083409570328, 0.9673818801842602, 0.968982926815253, 0.9650603380696063, 0.9684291367488989, 0.9675408162485234, 0.9682164033187588, 0.9682303720224009, 0.968213755513036]","[0.9651744050209645, 0.968728830984909, 0.9710892026620417, 0.9653464325683061, 0.9699331765633783, 0.9707531430833833, 0.9684797219302467, 0.9698738361770364, 0.9693637609656027]","[0.9701206221607107, 0.9653578335938402, 0.9682841887360728, 0.9645704996731006, 0.967240076600454, 0.9684579445249769, 0.9729041536208198, 0.9669184940938795, 0.9674841242060037]","[0.9630404944572504, 0.96393041304545, 0.9630116335049814, 0.9635333428894259, 0.9640303770369721, 0.9568682882663845, 0.9623292975752258, 0.9635490936566448, 0.9641582394084036]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,3,1,[0.4243783  0.56948762 0.76006836],[0.34328466 0.44643338 0.73808823],[0.26318075 0.34778678 0.64908312],[0.30836137 0.5958858  0.74549219],25,0.18683684006737103,0.1587754487991333,0.4861751516320799,0.4989906043509876,0.12470823526382446,0.6540118465643199,"[0.9902237979555504, 0.98674148224748, 0.9899659905856756, 0.989706729017416, 0.9899689890960393, 0.987019910029537, 0.9931199398187476, 0.988976303155158, 0.9884998809915349]","[0.9903434855658254, 0.9871744298836564, 0.9892090176999785, 0.9890253997443663, 0.990512613830066, 0.9876087489239904, 0.9925262680430362, 0.9888993267873847, 0.9883397627576913]","[0.9829018082090344, 0.979934864463099, 0.9854499884788378, 0.9877681850176232, 0.9815394945054745, 0.9809637539154819, 0.9902410785222334, 0.9843488426805067, 0.9842483657437573]","[0.9953692298623675, 0.9903571930759696, 0.9958900817492132, 0.9935085685795597, 0.9945491090704993, 0.9898427261905418, 0.9972552291799948, 0.9927984786067996, 0.9923435034596201]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,1,3,1,[0.49108872 0.55893655 0.31962985],[0.43212526 0.39200285 0.22239558],[0.40627317 0.33383525 0.25110579],[0.30874472 0.39251151 0.24131041],16,-0.25049422529731546,0.28743237257003784,0.23885037868175218,-0.20447734634155942,0.2915903329849243,0.34188982346102703,"[0.9221192953808948, 0.5593148044740262, 0.9412475632123427, 0.6017442214822654, 0.9390579805040008, 0.8973162164777027, 0.6958689031420151, 0.9492688498020252, 0.9432069572527997]","[0.9094894725902295, 0.5532872193063605, 0.9399001816271594, 0.594088253712038, 0.9348150741494902, 0.8849133195803782, 0.6946055573108407, 0.9470273927487984, 0.9359818873759482]","[0.9465398319872299, 0.6425106486628442, 0.9671601169054584, 0.6743661934243212, 0.9428247419342708, 0.8935498313336463, 0.6933913723655438, 0.9535042136545197, 0.9576364409717549]","[0.9470084518582109, 0.535842866515327, 0.9297945151697435, 0.5896090820661741, 0.9499889699924335, 0.9394071957229952, 0.7019915994120898, 0.9541995299387774, 0.9574411179101663]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,2,3,1,[0.26799101 0.43982999 0.2076988 ],[0.18901803 0.32312717 0.08875511],[0.33213858 0.21984781 0.38062647],[0.4824849  0.23703808 0.36249052],25,-0.35225906173344956,0.48435351252555847,0.06902408440927876,-0.43800407230293675,0.4755871593952179,0.014877340145880824,"[0.5668957895834551, 0.6654428369099248, 0.37435941463530975, 0.4439347260161598, 0.3508168941138271, 0.4197147416614058, 0.4118426848404279, 0.4274779249715948, 0.50048861747172]","[0.5509740734284188, 0.6472757473031345, 0.3733675756109389, 0.4449473720097199, 0.3469859767172941, 0.4194286796790784, 0.4079472842416096, 0.4275445005262806, 0.5018717312364351]","[0.5877044775066362, 0.6816287609393099, 0.32083964762307976, 0.38628296070938145, 0.3143492865816164, 0.3876655158718763, 0.4244952876583879, 0.37881896569104007, 0.43105691020077913]","[0.6711430782055454, 0.7865657697762928, 0.4429961357332837, 0.50219710944694, 0.4321977703389368, 0.4538731742781799, 0.4430798419912162, 0.48267696830214857, 0.560668536433058]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,3,3,1,[0.84320999 0.24720874 0.20504636],[0.80147651 0.20258009 0.08645122],[0.70425156 0.1838336  0.36447896],[0.71753758 0.16756021 0.39870706],16,-0.04667520593539228,0.40776872634887695,0.14537164774478173,-0.12751733622720682,0.4067223370075226,0.002509382845927388,"[0.966635241320962, 0.9669672466998799, 0.969016775565429, 0.9691266389575309, 0.9662697480783082, 0.9668625625536114, 0.9703056170437634, 0.9726664410518737, 0.9693730242797017]","[0.966990022763528, 0.9688156386569542, 0.971122417501726, 0.9679899885642258, 0.9658535589094419, 0.9683721424375908, 0.9696088933680267, 0.9726975501306828, 0.968752105645216]","[0.9648147014662407, 0.9605159250325068, 0.9682848546746593, 0.9683664294664956, 0.9692499498116358, 0.9644854447709225, 0.9704705154303293, 0.9745522568568532, 0.9655959443923854]","[0.9660855606966339, 0.966098225237048, 0.9630105193845249, 0.9719425901517105, 0.9636367592024739, 0.9639942407000497, 0.9710486584974248, 0.9698542147048721, 0.9728618282591985]"
2,cosine,-1,/logs,umap,24,-1,0.0001,5,5,0,2,0,[0.45093605 0.44558542 0.80656674],[0.38735099 0.4372161  0.79968477],[0.23704737 0.37376514 0.64092244],[0.3397438  0.18380933 0.61717798],25,0.19911088261450302,0.13849198818206787,0.5380769262406739,0.38507342451794524,0.12421000003814697,0.6836961607825192,"[0.9914469471496502, 0.9880345968186179, 0.990009446830552, 0.9898976348116455, 0.9919145932927158, 0.9883691779944173, 0.9914002365583436, 0.9921749693395716, 0.9920286045371489]","[0.9909796818461787, 0.9879067857882063, 0.9886523579646387, 0.9899498946264917, 0.9919120934390051, 0.9876780243937052, 0.9902767150372469, 0.9931811531417087, 0.9909863321364041]","[0.9888040914710922, 0.9844939759966249, 0.9915929321070234, 0.9841435105421507, 0.9877560987714936, 0.9875125333412895, 0.9900562161329267, 0.9860229115271693, 0.9927682411606132]","[0.9944869036668745, 0.9905463547372073, 0.992987085833235, 0.9933397830740243, 0.9944505791730152, 0.9908585294063355, 0.9957349042486665, 0.992978939212374, 0.9947520689358821]"
