mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr
mode,usage_mode,valid_ratio,time_window,save_flag,latent_dim,logdir,steps,task,label_dim,batch_size,label_variable,epochs,lr,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,0,2,[0.07637238 0.20081293 0.12771353],[0.54673806 0.43802207 0.54599577],[0.21536775 0.38315996 0.54986152],[0.41396862 0.51397135 0.68019774],16,-0.45732134596720103,0.39029455184936523,0.2386473538167807,-0.42041798307265094,0.4336589574813843,0.03874228607484109,"[0.4611501359695807, 0.6091180674377428, 0.39534700692124247, 0.38031094518563036, 0.5930491652144068, 0.5476527218654641, 0.6177577058153673, 0.546902377351016, 0.41601459057077167]","[0.46270825979052893, 0.5985550006788616, 0.4097482320568592, 0.36492087398633044, 0.5817593341374299, 0.550077456369477, 0.6317979381863775, 0.5525658908365245, 0.4158004452329763]","[0.4858779654099166, 0.649636671848983, 0.35886498353429874, 0.42859664828651844, 0.6053343270230453, 0.5608999514841377, 0.6134450543325445, 0.585165801895579, 0.45386688490427174]","[0.4641415619450402, 0.6421957333109699, 0.36278193981559337, 0.4454479057808809, 0.6326699634137424, 0.5418745011405617, 0.5799557111374816, 0.5084456811180909, 0.4172786239826139]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,0,2,[0.13210348 0.14914049 0.14313102],[0.56133584 0.74709496 0.46801098],[0.20482061 0.70415947 0.46331798],[0.48186506 0.76924703 0.5779127 ],25,0.42750371129082715,0.17243266105651855,0.4960837638763844,0.5404778216003049,0.15281134843826294,0.670143205134182,"[0.860286172744538, 0.8454149377446947, 0.9104965350835024, 0.33267298329786915, 0.6478909173538544, 0.6255910125620148, 0.8978562329281421, 0.8058602595013515, 0.8546559698412233]","[0.8511932452649034, 0.8326501217979583, 0.910184122187454, 0.3258750081959504, 0.6344401253572223, 0.6145203415806142, 0.8922684912197685, 0.800228834529225, 0.84934512731005]","[0.8937903723243135, 0.8817080281278151, 0.909293829561297, 0.35480758364721293, 0.7011578933560237, 0.6585671061631203, 0.9154426251085008, 0.8423770246027529, 0.8748593569511405]","[0.8827616041261108, 0.8845465276953024, 0.9142142020205535, 0.35924988938718283, 0.6695508088405797, 0.6540317718233213, 0.9112687668282271, 0.814567265532004, 0.8684932514480673]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,1,0,[0.01258984 0.03479607 0.00568307],[0.66335694 0.61251878 0.84676394],[0.58623015 0.44529561 0.62323203],[0.50212945 0.48530912 0.73759684],25,0.8041940770860428,0.0808015912771225,0.8145486836991569,0.783780141188157,0.09100925922393799,0.8521969289793548,"[0.9385686227097374, 0.9133559422008557, 0.7573712906694863, 0.9441471649242321, 0.9226867421238603, 0.5440979523675659, 0.9064888460957632, 0.9588937524453568, 0.8360682229538567]","[0.9414301748923708, 0.9139276578446158, 0.754209418086968, 0.9488863422396208, 0.9240262748754602, 0.5395408266280316, 0.9083320931947865, 0.9611026712548812, 0.8417100765787601]","[0.9421734127616901, 0.9136459862688264, 0.7627132660036355, 0.9461570488720292, 0.9196874423816757, 0.5587762491743914, 0.9099579754493812, 0.9591674610426686, 0.8248002632881006]","[0.9308648660759895, 0.9123231413334912, 0.7648460045265664, 0.9292994476561808, 0.9225877581235109, 0.5539586982408633, 0.9008369834659246, 0.9536633757593277, 0.8250580353195728]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,1,0,[0.0149247  0.00739455 0.05006194],[0.3587156  0.62272922 0.37975962],[0.38368548 0.34070588 0.33053589],[0.35040475 0.33272474 0.34480483],16,0.007285713918347166,0.20518608391284943,0.38375105437611245,-0.1675024077273399,0.23981666564941406,0.10515421816134796,"[0.39579575206422046, 0.575033441374504, 0.8351558274912986, 0.7998137686730947, 0.40266347520277174, 0.793582149700718, 0.7436153078864074, 0.5445060734481204, 0.7015137544711052]","[0.42420841423213473, 0.6182134989935864, 0.8898893609040052, 0.8403839810550447, 0.4521169565686615, 0.809612683058773, 0.7853280748979585, 0.5757169236376329, 0.7325305734845131]","[0.3774100029924368, 0.5242395885790667, 0.871821925112191, 0.80327725829796, 0.3707481089594955, 0.8101879468855891, 0.7305223274193076, 0.5432102680142076, 0.699024065163982]","[0.32274147884040816, 0.4590202061488518, 0.7012886903163842, 0.6684273457808174, 0.29533481500831854, 0.7247549141767182, 0.6056159277961415, 0.4415980821694808, 0.6039904481239371]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,1,0,[0.03607244 0.00596118 0.03184621],[0.46076137 0.58951525 0.37982139],[0.37526962 0.27958184 0.25086474],[0.39765718 0.32296625 0.27731972],25,-0.3515059614744587,0.4992107152938843,0.11373375445071954,-0.6105961946154381,0.4886297583580017,-0.2769884705591974,"[0.4432441156198497, 0.47452219666885403, 0.26685936104760366, 0.23889306466938787, 0.8085850449225447, 0.3507708728321586, 0.22343494120585877, 0.3552437559023001, 0.4299089611527487]","[0.47976111413940903, 0.5032602347767222, 0.3101640574004597, 0.2758653781457251, 0.8272171909842696, 0.38798614864978015, 0.24839322596492425, 0.38050093174700045, 0.45120829435758214]","[0.4981423945421456, 0.4740935218904922, 0.2886974206220234, 0.27634556045627506, 0.8267221351088717, 0.369784027380932, 0.26390012508336674, 0.39232594681921673, 0.49143055184951895]","[0.334042523579947, 0.3914896216369714, 0.1507550973083534, 0.14914877095655205, 0.7457873955264929, 0.24647723277191086, 0.16088580023695187, 0.2879132850346558, 0.33213723735186595]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,1,0,[0.00711926 0.05153893 0.03311609],[0.85162472 0.64856737 0.56695366],[0.63673929 0.53269087 0.39720726],[0.77607417 0.50178106 0.40211502],16,0.009444720034872992,0.20342141389846802,0.22023851874365752,0.1715277062896333,0.25053876638412476,0.29089102398199884,"[0.7066602769805305, 0.9525917485710758, 0.935236550167182, 0.9581293475546362, 0.6357845918262893, 0.7381785249423181, 0.9545474472113102, 0.5252826084649258, 0.9306699010554611]","[0.7249625327554549, 0.9590757909487564, 0.9409651738166118, 0.965130209681824, 0.6438880491074939, 0.7539395670643455, 0.9611823324220972, 0.5382136881326824, 0.9366506421920698]","[0.6611125803832936, 0.9430688890305645, 0.9270369516710258, 0.947073297330081, 0.6310403660064945, 0.6869185046240299, 0.945983048514615, 0.5351598012467538, 0.9195019193698042]","[0.6630422117251639, 0.9333774766729857, 0.9196148179558024, 0.9391202866960877, 0.6059280306447901, 0.7275930660030039, 0.9342070457647448, 0.47609265397257056, 0.9143812609165962]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,0,1,1,[0.12291147 0.00768419 0.03509341],[0.86457011 0.65803899 0.71708852],[0.48522257 0.51819068 0.56582853],[0.74435689 0.59999064 0.64939338],9,0.5345434626993246,0.12079453468322754,0.602300135037584,0.7512757587439998,0.1044769287109375,0.8085131350183584,"[0.9328372627241694, 0.9529550926277673, 0.9539598696245357, 0.9547815114405174, 0.83875390482989, 0.7466619710813933, 0.9017056918480415, 0.9490445387442991, 0.9633164733528758]","[0.9319456583174417, 0.9513484972946579, 0.9539808880107021, 0.9560440194193762, 0.8437150603805976, 0.739846092936655, 0.9016314512156098, 0.949066024645469, 0.9645383332604022]","[0.9371711755767064, 0.9521066322045793, 0.9512683390636111, 0.9535106537389619, 0.8304303806081087, 0.7647513436601353, 0.8900922389869628, 0.9521071895110095, 0.9575442154024503]","[0.9341690178202673, 0.958613565494493, 0.9566284128716841, 0.9530559492008164, 0.8324322076954376, 0.7597796244986006, 0.913805375525226, 0.9475788927112347, 0.9637607899295264]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,1,1,1,[0.13030957 0.07171956 0.0843432 ],[0.87750464 0.59528002 0.74305776],[0.52275178 0.58243719 0.50983872],[0.75853928 0.60558865 0.5759129 ],25,0.2337454022209334,0.2074539065361023,0.46636335675377183,0.10687993106212697,0.19765162467956543,0.5512850304802932,"[0.469926064848805, 0.8941604585225292, 0.5492460788932431, 0.45481852831534914, 0.8282351545796449, 0.6577762184202178, 0.7393258117642081, 0.6430158152160036, 0.7183749331569003]","[0.48147339028414954, 0.8983406846055972, 0.5724013657921196, 0.44267596934289627, 0.834218928946965, 0.658006174723049, 0.7237995607559535, 0.6566115238508912, 0.729407417759905]","[0.5186627616118108, 0.9009239849676383, 0.5234013265210016, 0.4959248497980032, 0.8377906000274914, 0.6650927343640901, 0.7648854115258392, 0.6540109456454202, 0.7018622829294086]","[0.4269684790862011, 0.8792775744433712, 0.5105733058651128, 0.4694790679327324, 0.8057844918975305, 0.6513204340911622, 0.7925202522746463, 0.6241106444697602, 0.7019038949680079]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,2,1,1,[0.01098639 0.07396392 0.01210242],[0.50641146 0.40598073 0.26864688],[0.45497092 0.46950753 0.35334514],[0.51009524 0.52277827 0.28390776],25,-0.37529475459872125,0.44565534591674805,0.1257743507899649,-0.448080159724106,0.437888503074646,-0.009608982462659288,"[0.6194048021586688, 0.22733686814001292, 0.2328474240834723, 0.5529835205717046, 0.11366695906831864, 0.13131231879228233, 0.1995766116478468, 0.461351216933876, 0.2268595839680228]","[0.6178057061210298, 0.23344323812694406, 0.22767064820237826, 0.5519376287954233, 0.11511507977390995, 0.13978137826237802, 0.2111907215136014, 0.4602213479056608, 0.22161911136691986]","[0.6488775202249826, 0.223356963630865, 0.2766782060976315, 0.5713796189165607, 0.12627297122951447, 0.11978380309072661, 0.20836664525016624, 0.4857727145236417, 0.2486672278595191]","[0.6062584650231153, 0.18141264754665265, 0.23510979419425304, 0.5454940952055705, 0.10386627935135251, 0.10553541405097572, 0.13350523139957493, 0.45433032429323744, 0.24555059208658436]"
continuous,without-label,0.1,10,True,2,/logs,-1,HippocampusCV,3,200,position-direction,1000,0.00025,3,1,1,[0.03011626 0.08014107 0.01859481],[0.66552287 0.65597276 0.25560694],[0.52454955 0.43302413 0.30353907],[0.60248193 0.50611824 0.27565602],25,-0.46309084294671576,0.3681483566761017,0.17443775798563155,-0.4092488706715711,0.3270384967327118,0.1368568175764121,"[0.43485613840282555, 0.33975998881687, 0.5414138165991181, 0.3469850019740459, 0.36454155064863153, 0.31316410399208316, 0.3290678447457385, 0.5856046608576904, 0.4056473089980196]","[0.4301946593549822, 0.342529014019223, 0.5194549432592952, 0.33355587496737393, 0.35375172124078347, 0.32005432178687904, 0.32539194159209484, 0.594457059219312, 0.3957416383991024]","[0.45251974345922336, 0.3413869651736985, 0.5880414667716141, 0.37028357756140506, 0.3906954417461762, 0.29720179053984674, 0.3306328691608745, 0.5876076667290729, 0.4242311567699156]","[0.4376112560817158, 0.3360308246317728, 0.575360285540646, 0.3681048814477957, 0.37841706463000674, 0.3168073654872785, 0.3425990375164767, 0.5614747829447194, 0.42307010459036565]"
