num_hidden_units,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,output_dimension,loader,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,1,2,[0.96047182 0.87966086 0.87699654],[0.97623876 0.92291172 0.87921591],[0.73720625 0.48115124 0.63040733],[0.82672188 0.59044338 0.67563343],16,-0.22064588696010856,0.17516976594924927,0.18881163491285446,-0.17574356562270688,0.21493518352508545,0.04207092788462741,"[0.7603099542886179, 0.7208456399098608]","[0.8473679852774124, 0.8169372812744625]","[0.6329543550731782, 0.5791010023389821]","[0.5796061534743605, 0.5376683058154527]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,1,2,[0.95430514 0.90606806 0.95753357],[0.96099765 0.94096497 0.95764671],[0.78263422 0.59206332 0.79964936],[0.8676355  0.64970811 0.83782546],25,0.48183998290487723,0.09347355365753174,0.5514035398944468,0.5157688930854746,0.08620700985193253,0.7050220914488642,"[0.9047532215515249, 0.9275671677170823]","[0.9433644118598511, 0.9663057049192211]","[0.7905526568697415, 0.8014573813259004]","[0.7887569600297354, 0.8163146136707663]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,0,1,[0.92636646 0.96630936 0.96139965],[0.95135123 0.96774851 0.97247059],[0.55912967 0.79496932 0.84777739],[0.72323725 0.81871109 0.89664617],25,0.7563155891534179,0.062387049198150635,0.8614589617287185,0.7556067824690066,0.048534899950027466,0.8778414886419562,"[0.979478174712904, 0.9760234736481143]","[0.9961372131768619, 0.9959445000325134]","[0.9371230917139398, 0.9282770043174807]","[0.9586378529690025, 0.9502493915757051]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,0,1,[0.9640948  0.95589582 0.94945629],[0.9757689  0.97097934 0.97104712],[0.66783938 0.59624602 0.65301479],[0.81131889 0.68723281 0.72886469],25,0.18675209544106966,0.12227064371109009,0.470746848876735,0.2522924110904904,0.11650204658508301,0.6138610856138417,"[0.883673812023107, 0.9088164746487474]","[0.9455107583286005, 0.9697238625083099]","[0.7693048279300024, 0.7555812700354266]","[0.7785189172690897, 0.8184493324659332]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,0,1,[0.95741771 0.93888081 0.96423455],[0.95467097 0.9582641  0.97413414],[0.80921867 0.48973749 0.71912473],[0.83609062 0.61469205 0.83349711],16,-0.03248211770294603,0.14243704080581665,0.3701829001378071,-0.1927895899328637,0.1987876296043396,0.26819785049311073,"[0.7745511840249723, 0.7936632592789191]","[0.8095541418145006, 0.8322700786773902]","[0.6481750290599768, 0.6508383983319873]","[0.6308385858312787, 0.6437251808048227]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,0,1,[0.96424981 0.9464754  0.97310068],[0.97013339 0.97570786 0.97991444],[0.86978241 0.56366208 0.75595785],[0.90105874 0.65999562 0.81522182],25,0.21437364451515373,0.1315394639968872,0.4332308659394297,0.2731923469769661,0.12009063363075256,0.548180637788392,"[0.8613476514082272, 0.869143731651642]","[0.9708463478308262, 0.975847467982151]","[0.7041019966181911, 0.7116063483725611]","[0.7364535179490947, 0.7512599447217666]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,2,2,[0.95141621 0.92671105 0.96222961],[0.9710466  0.94209817 0.96983068],[0.60311398 0.70676315 0.8563985 ],[0.7921622  0.69933467 0.90901977],16,0.6322837569174032,0.07070207595825195,0.8517693579560228,0.6540764793279215,0.05638003349304199,0.8838875617087081,"[0.9598662260657161, 0.9625585158631905]","[0.9943824164519525, 0.9955219240779165]","[0.9005299016135705, 0.8937184140920417]","[0.8812590784151766, 0.9000221270147216]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,2,2,[0.96594802 0.88132065 0.93954989],[0.97929572 0.93319384 0.95093348],[0.72381475 0.5285493  0.72225128],[0.82015795 0.59723904 0.83029132],25,0.20344249907993875,0.12576553225517273,0.5306133923293836,0.3866748893959651,0.11082959175109863,0.6359171575802993,"[0.8908714947893549, 0.9119854082121872]","[0.9480305838656925, 0.9655936958612412]","[0.7408689295603536, 0.8106045129046301]","[0.7793075081644565, 0.7874122091237101]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,2,2,[0.97132959 0.93406235 0.94446446],[0.98182947 0.96790565 0.94556739],[0.81673325 0.51107755 0.81802006],[0.83069237 0.59888106 0.82271928],25,-0.21755135411330043,0.1620050072669983,0.16263500229211292,-0.162627538650419,0.2091735452413559,0.05152295977578758,"[0.7410799774600608, 0.7467519012627628]","[0.836726686746264, 0.8397554451080641]","[0.5965844040545322, 0.6010985353048697]","[0.5502769727664231, 0.5692978941798152]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,2,2,[0.96083828 0.90094298 0.86002225],[0.96258041 0.93962459 0.87544907],[0.85701751 0.52371509 0.62727763],[0.92112072 0.70017174 0.68743996],16,0.4601307005794048,0.08956250548362732,0.5235526678825918,0.521284719901966,0.08780673146247864,0.691499041734527,"[0.9019273955667343, 0.9255778621116297]","[0.9384706285132687, 0.9651012353917282]","[0.785553446006333, 0.8005383154622306]","[0.8024802058273052, 0.8122276172926353]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,1,1,[0.9741132  0.93140603 0.96566507],[0.98780869 0.93339327 0.97379596],[0.70551793 0.75091916 0.83084195],[0.87444365 0.7825937  0.87353571],25,0.7444315421425145,0.06791818141937256,0.8353634690122287,0.7647417898587467,0.04441648721694946,0.8489112283241872,"[0.9793144136407452, 0.9754248543767782]","[0.9961372964239835, 0.9951708622716294]","[0.9374264277605043, 0.9230111630360044]","[0.958052094460842, 0.9552363093324185]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,1,1,[0.96414187 0.8860887  0.94283946],[0.97651466 0.90462453 0.95505334],[0.63766015 0.54175173 0.61446807],[0.78588883 0.66217607 0.68065494],16,-0.21373613447148668,0.12219571322202682,0.34912465139224824,-0.24677004514704035,0.13315242528915405,0.5377192872544923,"[0.611356320295544, 0.66142692192507]","[0.6688584178295974, 0.7070605351761455]","[0.5105221536116754, 0.5837833069543664]","[0.5327543961723666, 0.594260429140321]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,1,1,[0.92298206 0.90900705 0.95138742],[0.92423862 0.91441595 0.96464143],[0.7260949  0.59682617 0.6820303 ],[0.74991322 0.69874585 0.7677978 ],25,-0.02668875589799713,0.145040363073349,0.35042475260469175,-0.1398668390699147,0.18689391016960144,0.271933730303494,"[0.7982921707109892, 0.7863225523579201]","[0.8388754212684902, 0.8244954379463337]","[0.6537962483411273, 0.6287824469767002]","[0.6319539761178576, 0.6447631724843967]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,1,1,[0.96800557 0.94737749 0.95310599],[0.97098203 0.96051377 0.96341921],[0.83855901 0.71028108 0.69234725],[0.87390898 0.77846647 0.77156039],25,0.18083207550147798,0.12568911910057068,0.4151540477388359,0.27176442858540534,0.11792472004890442,0.4801031784777646,"[0.863998750400587, 0.8540280242054678]","[0.9718703067933244, 0.9689533572403999]","[0.708900209963244, 0.6956415170454185]","[0.7396501649230814, 0.7206750071004818]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,0,1,0,[0.96226037 0.9427899  0.93815804],[0.978201   0.9752946  0.97356316],[0.63699432 0.62073134 0.74642555],[0.70693362 0.53070833 0.59700971],25,0.8119708908411161,0.051630884408950806,0.9258092865077713,0.7766217484718249,0.05804222822189331,0.9127585922435139,"[0.9723178386489035, 0.975909984261432]","[0.996159691650964, 0.9955019945232317]","[0.9211685331724544, 0.937167536712395]","[0.9265463414546357, 0.9335491748115191]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,1,1,0,[0.9644098  0.93860054 0.89418511],[0.9780956  0.97584554 0.92581004],[0.67118102 0.46473829 0.59178987],[0.71573009 0.47521978 0.48549388],25,0.23946761795155036,0.12267839908599854,0.48215480161089286,0.16880711045115407,0.15910124778747559,0.24688373499788807,"[0.8799629728328208, 0.8748657287861507]","[0.9740499325454555, 0.9738173763048795]","[0.7627810075091485, 0.7318820783685265]","[0.7063816582249899, 0.7077854023685877]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,2,1,0,[0.91522739 0.9365231  0.78758145],[0.95101199 0.96534672 0.88403935],[0.65890935 0.50394478 0.48799168],[0.57285793 0.51153942 0.31271643],25,-0.2806259913474444,0.16850078105926514,0.06396849049256004,-0.48100704509453757,0.2776230275630951,-0.1781821558285377,"[0.7131322884966034, 0.7109327981431721]","[0.8796961452778683, 0.8656479660915198]","[0.5535468780719692, 0.5642245487566381]","[0.5166816278138159, 0.5165277675924626]"
64,3,continuous,/logs,1.265961498923956,cebra-behavior,-1,5,0.0020507814090484,20000,1000,10,5,3,1,0,[0.93565335 0.92113583 0.85661594],[0.96174308 0.94396936 0.91586526],[0.80712306 0.60725744 0.5273847 ],[0.6477471  0.5758066  0.38736146],16,0.23951289830136435,0.10442154854536057,0.3369340278113542,-0.18101441670444932,0.1596074253320694,0.2096458215532654,"[0.8564276589985781, 0.8538700142296162]","[0.9761670890180648, 0.9695959379117726]","[0.6683209490430925, 0.6904795101573206]","[0.6279215368008962, 0.6314086060679951]"
