num_hidden_units,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right
num_hidden_units,output_dimension,logdir,temperature,algorithm,steps,offset_left,learning_rate,batch_size,max_iterations,time_offsets,offset_right,animal,seed,repeat,all,train,valid,test,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2,all_run_consistency,train_run_consistency,valid_run_consistency,test_run_consistency
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,1,2,[0.82355879 0.89677944 0.84453787],[0.78215621 0.8554492  0.78874009],[0.84705262 0.87744323 0.90830531],[0.89849833 0.79581337 0.90057776],25,0.09294392795557949,0.14406967163085938,0.630604970360282,0.2927702352123463,0.15214192867279053,0.6157987317501519,"[0.6717801703078883, 0.83982944296825]","[0.6504531963946562, 0.8412175186432497]","[0.7092157807293632, 0.8182272797308222]","[0.6965031492508039, 0.8257887850500515]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,1,2,[0.96627033 0.93480888 0.74502413],[0.95671986 0.91131968 0.66550153],[0.95518329 0.90165703 0.86585413],[0.94870098 0.92377692 0.82988622],25,0.6525437633475182,0.07237891852855682,0.8067179426724477,0.8231516027163815,0.06957283616065979,0.9543421073269809,"[0.9146234629575544, 0.9089747830807943]","[0.9119590307883653, 0.8929362144537225]","[0.9382498293078964, 0.9549380096651796]","[0.9264586992492667, 0.9712801314773089]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,1,1,[0.8362861  0.75674254 0.89693386],[0.83664789 0.69268839 0.87075247],[0.49162182 0.87981788 0.90874425],[0.65830752 0.76836113 0.91771022],16,0.8771399916708464,0.05460540950298309,0.9659026652855116,0.7635575609540712,0.044165849685668945,0.9796965228665294,"[0.8809464582954676, 0.8830407438638909]","[0.8854986525835639, 0.8880306845287133]","[0.8844364017637864, 0.8879216088493235]","[0.8756396660870593, 0.8742541753766137]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,1,1,[0.81982592 0.79831983 0.86990185],[0.82229944 0.73656866 0.85940462],[0.63203684 0.74044248 0.78253592],[0.62569163 0.82346532 0.85260566],25,0.38460511477375964,0.11086571216583252,0.6074494680247398,0.38173940973419856,0.10478639602661133,0.8210329255438298,"[0.8462851870020317, 0.8950194724669521]","[0.8391273006187099, 0.8959566673189207]","[0.9014062601017804, 0.8796213145623711]","[0.8520718715983336, 0.915291651738036]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,1,1,[0.7408966  0.82497373 0.75165508],[0.70880396 0.81299208 0.75561315],[0.71485598 0.4578748  0.79055831],[0.58961623 0.66139689 0.79766052],25,0.20402703977519585,0.11717489361763,0.7887942152558494,0.09970287213352098,0.15458619594573975,0.745174941836723,"[0.8344242599613979, 0.8613481762364635]","[0.8360600532240453, 0.8566701696453758]","[0.8153384782445642, 0.8844617882996553]","[0.8061430958243837, 0.8531742485990153]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,1,1,[0.79813026 0.79797636 0.72333132],[0.74490702 0.76477629 0.65643323],[0.74767872 0.52555196 0.81883516],[0.70060318 0.66666395 0.78596959],25,0.5243146182705363,0.0933651328086853,0.9055026316813566,0.5343204704165974,0.07686018943786621,0.8891248016789188,"[0.9562694869294894, 0.912778791189487]","[0.9480329165021039, 0.8910565361658512]","[0.9682781983679006, 0.957435860548831]","[0.9653869174548008, 0.9353352155036095]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,0,0,0,[0.69838513 0.70631626 0.96213626],[0.72528022 0.75176269 0.97890092],[0.4918896  0.69648634 0.93922477],[0.61627015 0.51582015 0.94005996],25,0.8825607242363228,0.058230429887771606,0.9554377379052797,0.8898340567459412,0.044205598533153534,0.9717431648912007,"[0.995318726776222, 0.9949708242649229]","[0.995348390397483, 0.9953668579000254]","[0.9953677692255587, 0.9938049347484785]","[0.9957844507520345, 0.9948431689708778]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,1,0,0,[0.89477323 0.6845515  0.94586378],[0.86001707 0.7359616  0.9489159 ],[0.72025267 0.58111982 0.79923082],[0.87135907 0.50627843 0.81353502],16,0.04385757639062463,0.1738033890724182,0.20206414616813162,0.34656075868700836,0.140022873878479,0.5254428647852559,"[0.894802848822868, 0.7345243194706915]","[0.8755361293267697, 0.8269908903242912]","[0.940255399321265, 0.5569200044150274]","[0.9421437817867595, 0.6382973270296176]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,2,0,0,[0.71276331 0.64578899 0.8274894 ],[0.78266072 0.70015357 0.85496151],[0.70391392 0.43055962 0.86891058],[0.57371786 0.42553322 0.64510103],25,0.19310541074122653,0.17532777786254883,0.675972355206576,-0.12341444069038505,0.19302701950073242,0.44114579758008843,"[0.801843812016161, 0.7932187602805238]","[0.7978599493083959, 0.7992129004630405]","[0.7896419191808693, 0.7906520088497359]","[0.7341557472310319, 0.7266721606510606]"
64,3,/logs,3.212991682008965,cebra-time,-1,5,0.0028521675677231,20000,1000,10,5,3,0,0,[0.96469624 0.68130838 0.67323636],[0.98286334 0.7279044  0.71534507],[0.94425987 0.48650021 0.69170074],[0.88352149 0.52315463 0.4687142 ],16,0.49180002067616674,0.07761615514755249,0.5792085293735276,0.43039456831702255,0.10166065394878387,0.6769391436339509,"[0.841868307321541, 0.9290663109567087]","[0.8661292143687316, 0.9478642817689863]","[0.784982212863793, 0.8600910505700917]","[0.863620430511189, 0.9181259000594532]"
