,rat,seed,split,knn,valid_total_r2,valid_position_error,valid_position_r2,test_total_r2,test_position_error,test_position_r2
58,buddy,8,1,16,-0.429210960565817,0.2430241210386157,0.02457621246648012,-0.47044381338907143,0.28859076648950577,0.16675932665594617
59,buddy,9,1,16,-0.45548815115206215,0.2652553217485547,-0.012722956857595724,-0.5482553999645174,0.2833011425100267,0.20507829605541816
60,cicero,0,1,16,-0.3445992660072255,0.39843149844091386,0.1972284060752847,-0.4208243660626903,0.40563548475620337,0.10086803273021194
61,cicero,1,1,16,-0.31222208459159245,0.3972556730732322,0.20151436974468506,-0.38486959831729006,0.3997418363542238,0.11686130208729484
62,cicero,2,1,25,-0.326192553931303,0.39472870890051126,0.21324707494810835,-0.3930373838884324,0.3868367185629904,0.1526483113570397
63,cicero,3,1,25,-0.34402249986039796,0.40004996413365,0.21340135038337782,-0.3976468348688971,0.4076085750199855,0.1273360791807574
64,cicero,4,1,25,-0.31636348096502925,0.390202718898654,0.22829164797932067,-0.36974540871918443,0.40103815019130706,0.13926611241183184
65,cicero,5,1,25,-0.3270884697666934,0.3956530846841634,0.23325491380532326,-0.4107265441433455,0.4020052189286798,0.12972601358388736
66,cicero,6,1,25,-0.3102730777885477,0.39503859777003525,0.21974080089748482,-0.3933348648556622,0.3977233788371086,0.1474494137422655
67,cicero,7,1,25,-0.32654375078247944,0.38601003525778654,0.2493317166255793,-0.3582527599125232,0.39630366364493963,0.15795372488384585
68,cicero,8,1,25,-0.34760181079041574,0.38841419681906697,0.25424429569193463,-0.430409964904843,0.40392469166778033,0.13670805690000676
69,cicero,9,1,25,-0.39279358035085826,0.4013961390557233,0.20532486221627344,-0.43006447905271133,0.396466154968366,0.15066387859565156
70,gatsby,0,1,25,0.060987544501607406,0.2249131653271616,0.425906656066411,0.12234264151173169,0.1639112800674047,0.4660464992466702
71,gatsby,1,1,25,0.0912365650853173,0.23687512467615307,0.43174731948713396,0.10200265246925085,0.17907148843165488,0.41120011616249563
72,gatsby,2,1,25,0.07101559312188947,0.2289437509875279,0.43476420234465596,0.14239704408614048,0.1698361579328775,0.46035814384169127
73,gatsby,3,1,25,0.04930958717463133,0.2371135165868327,0.4026653394091513,0.13154353023472887,0.1728594814240933,0.475128413285853
74,gatsby,4,1,25,0.08425213370415763,0.2324276530742645,0.422586580667322,0.1502017401344422,0.17411575575126337,0.46319361850903407
75,gatsby,5,1,25,0.06115366291849892,0.23754050129093232,0.3933858564108149,0.14050979616323747,0.1741288241837174,0.4608699841162497
76,gatsby,6,1,25,-0.08624605551998565,0.2752678921818733,0.34977507103532846,0.01149230619661945,0.2028885104879737,0.4133646365961938
77,gatsby,7,1,25,0.07815660053056799,0.22162728596478704,0.4703382909590921,0.16653783412044532,0.164450631737709,0.5142597618147977
78,gatsby,8,1,25,0.08439052312809987,0.2287732695788145,0.45130388171595126,0.1747255569118383,0.16009559690952302,0.4935499805383369
79,gatsby,9,1,16,-0.15193269035953497,0.25520293082809076,0.4263024500257717,-0.1015386358134952,0.20481112044762995,0.4899598028126312
80,achilles,0,2,25,0.5468768202262492,0.08901746340095998,0.831231925931544,0.5654287196585801,0.06738904926925898,0.8674539742113606
81,achilles,1,2,9,0.5204615776069754,0.09077347866776916,0.7847980494783271,0.5652898983054401,0.06617942783567639,0.8415773402555138
82,achilles,2,2,25,0.5149288476643951,0.08316536851227284,0.7916368963681606,0.6015975703874483,0.05889193467795849,0.8995800167086856
83,achilles,3,2,9,0.55746532307455,0.0815678437550863,0.8114359536977821,0.5991421329160143,0.062310995327101826,0.8616615004186717
84,achilles,4,2,25,0.5372872270378561,0.08502331495285032,0.8165253683969095,0.5134612998112806,0.0648894479870796,0.8744968020065921
85,achilles,5,2,25,0.552085273791567,0.08028862953186033,0.8234202499099224,0.5655196266477481,0.058139188922941676,0.8575426272202943
86,achilles,6,2,9,0.5153622982345359,0.08222602473364937,0.7835624333915534,0.5911484875076556,0.06395164463255137,0.873324802048593
87,achilles,7,2,9,0.5139607733875794,0.08479133248329163,0.7652956368201397,0.5894364270890481,0.0629714310376181,0.8580045528341997
88,achilles,8,2,16,0.5368666513754107,0.08684648014605045,0.7965140120355139,0.5872636852833525,0.06150307413190603,0.8922225992513956
89,achilles,9,2,25,0.49661902581164136,0.13542058872058987,0.5538985444128173,0.5285128737961838,0.10998337045311929,0.593761349287042
90,buddy,0,2,9,-0.54603320456332,0.2474472720382943,0.3312965414599305,-0.33760912974048995,0.24481462247462732,0.2669337116353484
91,buddy,1,2,25,-0.4545187739889734,0.2223264718055724,0.4103771437248316,-0.2901266136761829,0.27914357006549834,0.31567379980378873
92,buddy,2,2,25,-0.4313044036905764,0.23752558469772334,0.3446999311490042,-0.2402350146540858,0.28859730444848536,0.28964710932417836
93,buddy,3,2,25,-0.5014950780589048,0.2638077962026,0.4498753294763952,-0.3727521905995144,0.27554392095655206,0.30206571909499347
94,buddy,4,2,25,-0.25308074523947455,0.2912058027088642,0.353125204115014,-0.2519706745853142,0.2897202189359813,0.2778669945366139
95,buddy,5,2,25,-0.3107481594377057,0.24041413735598327,0.375585650978458,-0.270716653712537,0.2582738538458943,0.3504768146886056
96,buddy,6,2,9,-0.7353482280121494,0.30784944693247474,0.1693124415264997,-0.4337264553323603,0.34540051677160793,0.13671307365104868
97,buddy,7,2,25,-0.46722808092743634,0.23335385205224157,0.44742718039334184,-0.3251460103016349,0.2619402974843979,0.30432306995191316
98,buddy,8,2,25,-0.39380105630238554,0.26362109363079067,0.3820320158296766,-0.2646079551457622,0.27281507968902585,0.31023574787363073
99,buddy,9,2,9,-0.6622108532099923,0.2712988729278246,0.32858219994585125,-0.42198525474999116,0.28113892224306863,0.23636055416498447
100,cicero,0,2,16,-0.47905726357924516,0.4865870334324427,0.006628784280369837,-0.35100327723383035,0.519857951789163,-0.0044921223858953585
101,cicero,1,2,16,-0.470099752172951,0.4815170168731129,0.02969601399647026,-0.30841382877850704,0.5012554465793073,-0.0007044510936173864
102,cicero,2,2,25,-0.46566528984164873,0.4858435554988682,0.027778182979246502,-0.2790553966289663,0.5105661963671446,0.027578747220172506
103,cicero,3,2,25,-0.49822532696823824,0.4873824262991548,0.045525641517211723,-0.3003192317756582,0.5161894524097443,0.010389906502836554
104,cicero,4,2,25,-0.4615707995152232,0.4801401854399592,0.04133008879278288,-0.27476406384136526,0.5084712063521146,0.015832469880395994
105,cicero,5,2,25,-0.4856686092481974,0.47390112221241,0.03626370580968441,-0.29492213405701684,0.505351231098175,0.004598810638597461
106,cicero,6,2,16,-0.479272960271802,0.4709878638968803,0.025008216716609244,-0.34997730266771243,0.49498203859548084,-0.004052085369961489
107,cicero,7,2,16,-0.4685675168252736,0.4727438264308148,0.02287680653115487,-0.30866089629083726,0.5085020997212268,-0.016393678164318137
108,cicero,8,2,16,-0.48623281754017667,0.4799769823439419,0.011739253917052883,-0.35298691369007346,0.5138367761392146,-0.003408667268175014
109,cicero,9,2,16,-0.5238836295606538,0.4960040733567439,-0.0010068302377710392,-0.3721030403624233,0.5226951924269088,0.0016729375320256867
110,gatsby,0,2,25,0.40708568776463333,0.13214906254783274,0.5533544299983433,0.43190472913791234,0.13661798034561795,0.671440962293006
111,gatsby,1,2,16,0.409350078492682,0.1457927254959941,0.5268451680148782,0.4215005689183789,0.15001992147881538,0.6402284816344065
112,gatsby,2,2,16,0.3503200883893171,0.13040684687439352,0.5287557813556936,0.40797547935720413,0.1421037381514907,0.6372413761989486
113,gatsby,3,2,16,0.4277479061427336,0.1264662245521322,0.5237593911717141,0.39894079018189826,0.14250458404421806,0.6289313902970652
114,gatsby,4,2,25,0.41846165972435756,0.134708560705185,0.5458543031680023,0.4201616360143683,0.14140840122010556,0.6587645808712147
115,gatsby,5,2,16,0.4168575321644705,0.13274087710306048,0.5202278991335831,0.40924747218102925,0.13810695143183693,0.6485749873200384
116,gatsby,6,2,16,0.22065856580869211,0.1644100580488157,0.4644699467480261,0.189211751849623,0.17008552426705137,0.5598079076964433
117,gatsby,7,2,16,0.40576687182972165,0.12607098690932617,0.5202583522969484,0.4338129408875173,0.13902088150416603,0.6433362506185607
118,gatsby,8,2,16,0.44862271913708524,0.12768865749239922,0.5655698088000118,0.40185098209353054,0.1452583385107573,0.6526972313311894
119,gatsby,9,2,25,0.07508398462000924,0.1622442514076829,0.5480967370509005,0.12676705082000883,0.16128876835107805,0.6431085799936873
