,batch_size,conditional,delta,device,learning_rate,loss_distance,model,num_hidden_units,num_output,num_steps,save_frequency,share_model,temperature,time_offset,tqdm,train_ratio,valid_frequency,valid_ratio,variant,steps,data_mode,repeat,valid_accuracy,test_accuracy,train_consistency_raw,train_consistency,valid_consistency_raw,valid_consistency,test_consistency_raw,test_consistency,valid_accuracy_raw,test_accuracy_raw
896,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2450,multi-session,4.0,65.40404040404039,65.67901234567901,"[0.9978953  0.99799954 0.99825304 0.99788796 0.99803097 0.99828049
 0.99799765 0.99803367 0.99833642 0.99826153 0.9982929  0.99834948]",0.9981349119524138,"[0.32446455 0.41887867 0.53163972 0.31680138 0.27518054 0.34051027
 0.44048578 0.28279417 0.45641872 0.54173274 0.35258682 0.45770436]",0.39493314271694746,"[0.3627712  0.42776721 0.58699009 0.36183163 0.28418273 0.36342514
 0.44277876 0.29406546 0.45830332 0.59360125 0.37790141 0.46000366]",0.4178018213389329,[68.75420875 44.66891134 68.82154882 79.3714927 ],[71.98653199 48.79910213 65.85858586 76.07182941]
897,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2450,single-session,4.0,67.73288439955107,67.30639730639732,"[0.96456404 0.95204965 0.96310605 0.92560728 0.923946   0.91855573
 0.95358911 0.96490587 0.95676685 0.97543637 0.97645005 0.96737548]",0.9535293738894476,"[0.35639409 0.43954232 0.55799334 0.33408065 0.29836737 0.34966779
 0.46334639 0.33692038 0.4776378  0.57842572 0.39489794 0.48322482]",0.4225415516669833,"[0.38697021 0.438391   0.57388546 0.36668897 0.29622312 0.36452123
 0.46568602 0.34238123 0.48479794 0.58706565 0.40938065 0.47367227]",0.4324719795288995,[74.41077441 46.86868687 68.08080808 81.57126824],[73.84960718 51.17845118 66.86868687 77.328844  ]
898,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2500,multi-session,4.0,65.49943883277216,66.52076318742986,"[0.99793066 0.99807116 0.99834335 0.99792518 0.99801813 0.99828291
 0.99807121 0.99802379 0.99839369 0.9983499  0.99829074 0.99839827]",0.9981749155402415,"[0.32698023 0.41921428 0.53288678 0.31927164 0.27544329 0.34187627
 0.44233426 0.28408321 0.45712627 0.54257233 0.35370303 0.45732282]",0.3960678675735284,"[0.36227319 0.42664926 0.5872118  0.36221536 0.28473164 0.36501223
 0.44333406 0.29384446 0.45796964 0.59531278 0.37878627 0.45988304]",0.41810197926587944,[68.97867565 44.91582492 68.75420875 79.34904602],[73.1986532  50.41526375 67.13804714 75.33108866]
899,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2500,single-session,4.0,67.67676767676767,67.25589225589226,"[0.96469505 0.95400962 0.9624376  0.92647234 0.92527412 0.91791513
 0.95441536 0.96553908 0.95711505 0.97553169 0.97626361 0.96861852]",0.9540239322555802,"[0.35425704 0.43834717 0.55585799 0.33250562 0.2999851  0.35008693
 0.46003959 0.33633323 0.4804477  0.57859052 0.39500957 0.48519222]",0.42222105612342836,"[0.3850439  0.43690053 0.57468632 0.36628209 0.2985607  0.36456021
 0.46379104 0.34119822 0.48491318 0.5865196  0.40729911 0.4727851 ]",0.4318783330243393,[73.93939394 47.25028058 68.14814815 81.36924804],[73.89450056 52.61503928 65.92592593 76.58810325]
900,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2550,multi-session,4.0,65.63973063973063,66.15600448933783,"[0.99794267 0.99810311 0.99834235 0.99793892 0.998075   0.99831228
 0.99809965 0.99807692 0.99844714 0.99834745 0.99832146 0.99845598]",0.9982052431099074,"[0.32465028 0.41784078 0.5321017  0.31863514 0.27481065 0.34162153
 0.44150411 0.28217127 0.45660598 0.54255757 0.35238489 0.45612526]",0.39508409720409354,"[0.36219398 0.42699185 0.5850399  0.36178231 0.28485489 0.36331156
 0.44234459 0.29406072 0.45923532 0.59333628 0.37916668 0.46064416]",0.417746854760723,[69.24803591 44.82603816 68.93378227 79.55106622],[73.06397306 49.2704826  66.68911336 75.60044893]
901,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2550,single-session,4.0,67.82828282828284,67.01459034792369,"[0.96543538 0.95556702 0.96302154 0.9291007  0.92668452 0.91743329
 0.95482718 0.96486576 0.9559271  0.97611127 0.97620425 0.96848142]",0.954471619343926,"[0.35387079 0.43884066 0.5515149  0.333888   0.29917697 0.34901778
 0.46201641 0.33489471 0.47891715 0.576849   0.3931475  0.48494494]",0.4214232335136227,"[0.38294151 0.43839083 0.57100037 0.36769099 0.29885036 0.36604736
 0.46632026 0.33953624 0.48575024 0.5836903  0.40549907 0.47401528]",0.43164440109305574,[74.34343434 47.02581369 68.52974186 81.41414141],[74.34343434 51.26823793 67.34006734 75.10662177]
902,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2600,multi-session,4.0,65.62850729517396,66.32435465768799,"[0.99798762 0.99811304 0.99832468 0.99798907 0.99813456 0.99838994
 0.99811554 0.99813702 0.99843559 0.99833192 0.99839585 0.99844025]",0.9982329221747704,"[0.32664763 0.41766183 0.53221012 0.31951313 0.27550293 0.34307791
 0.44087837 0.28228671 0.45839288 0.54134975 0.35298106 0.45756463]",0.3956722453911178,"[0.36289348 0.42790177 0.58664599 0.36182989 0.28549435 0.36350069
 0.44473597 0.29618154 0.46061612 0.5935224  0.37960489 0.46091306]",0.41865334584262126,[69.0684624  45.02805836 68.93378227 79.48372615],[72.88439955 49.83164983 67.003367   75.57800224]
903,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2600,single-session,4.0,67.77216610549944,67.22222222222221,"[0.96559316 0.95676608 0.96310569 0.92797415 0.93031677 0.9195633
 0.95493961 0.96611595 0.95728775 0.97517731 0.97662028 0.97060776]",0.9553389841707872,"[0.35509961 0.43862178 0.55447378 0.33508607 0.29835286 0.34941167
 0.46013243 0.3340339  0.47616309 0.58017594 0.39392047 0.48279178]",0.42152194901306317,"[0.38512032 0.43891418 0.57192239 0.37095887 0.30028275 0.36643285
 0.46434047 0.33969924 0.48537194 0.5846199  0.40764217 0.47498314]",0.4325240190283127,[74.00673401 47.72166105 68.12570146 81.2345679 ],[74.20875421 52.21099888 66.30751964 76.16161616]
904,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2650,multi-session,4.0,65.81369248035915,65.7800224466891,"[0.99806512 0.99818135 0.99839315 0.9980623  0.99820563 0.99843931
 0.99817718 0.99820619 0.99852713 0.99839682 0.99844492 0.99853079]",0.9983024902980097,"[0.3269345  0.41742368 0.53115913 0.32122547 0.27541287 0.34247228
 0.44142491 0.28230265 0.4585475  0.54204545 0.35294508 0.45756362]",0.3957880945779947,"[0.36281877 0.42670245 0.58621572 0.36235337 0.28592106 0.36509752
 0.44390293 0.29571788 0.46222873 0.5938354  0.37995335 0.462381  ]",0.4189273476370955,[69.42760943 45.14029181 68.95622896 79.73063973],[73.44556678 48.8664422  65.18518519 75.62289562]
905,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2650,single-session,4.0,67.93490460157128,67.53086419753086,"[0.96697843 0.95668887 0.96280119 0.93092306 0.92991747 0.91949994
 0.95448703 0.96636962 0.95604579 0.97564382 0.97693948 0.96993455]",0.9555191048585605,"[0.35515923 0.4379736  0.5530958  0.33582193 0.29822964 0.3490111
 0.46162081 0.3340815  0.47724062 0.57724083 0.39322292 0.48087867]",0.4211313874903569,"[0.38559171 0.43892415 0.57202226 0.3703159  0.30152653 0.36662735
 0.46605561 0.34208982 0.48474904 0.58585697 0.40972773 0.47625258]",0.43331163874800394,[74.36588103 47.27272727 68.50729517 81.59371493],[74.68013468 51.35802469 67.49719416 76.58810325]
906,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2700,multi-session,4.0,65.90347923681257,66.03254769921436,"[0.99804714 0.99815851 0.99840134 0.9980469  0.99813564 0.9983706
 0.99816058 0.99813548 0.99846819 0.99840715 0.99837733 0.99847717]",0.9982655015763212,"[0.32645555 0.41807966 0.53004927 0.32200753 0.27614749 0.34372409
 0.44176439 0.28266672 0.45726359 0.54208501 0.35379961 0.45773044]",0.39598111212403403,"[0.36204215 0.4275984  0.58552968 0.36135442 0.28616478 0.363823
 0.44535385 0.296873   0.46314071 0.59260616 0.37948579 0.4627977 ]",0.4188974707747649,[69.53984287 44.91582492 69.20314254 79.95510662],[72.61503928 49.53984287 66.46464646 75.51066218]
907,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2700,single-session,4.0,68.1144781144781,67.65993265993265,"[0.96685083 0.95675013 0.96308199 0.93260111 0.93258626 0.92009168
 0.95502187 0.96706991 0.95572001 0.97574791 0.97676085 0.97107232]",0.9561129081541736,"[0.35432606 0.43893262 0.55293732 0.3366317  0.300979   0.35036391
 0.46563876 0.33331798 0.47926386 0.58000908 0.39375528 0.48395332]",0.4225090734534029,"[0.38570108 0.44023372 0.57219583 0.37323825 0.30262694 0.36949271
 0.46825531 0.34116252 0.48738744 0.58508883 0.40771552 0.4755214 ]",0.4340516283034722,[74.81481481 47.34006734 68.55218855 81.75084175],[74.56790123 51.94163861 67.003367   77.12682379]
908,7200,time_delta,0.1,cuda,0.003,cosine,offset10-model,128,32,5000,50,False,1,10,False,0.8,100,0.1,single-session,2750,multi-session,4.0,65.88664421997755,66.71156004489337,"[0.99806341 0.99819493 0.99841637 0.99806186 0.9982326  0.99844018
 0.99819403 0.99823537 0.99853619 0.9984224  0.99844687 0.99854303]",0.9983156039476893,"[0.32603644 0.41604988 0.52961888 0.32142821 0.27596135 0.34284148
 0.44013806 0.28280837 0.45697232 0.54142636 0.35383334 0.4574538 ]",0.39538070632676997,"[0.36287609 0.42671732 0.58646897 0.36163473 0.28512629 0.36380674
 0.44428717 0.29748945 0.4642549  0.59287298 0.378535   0.46272579]",0.41889961881722454,[69.31537598 44.96071829 69.33782267 79.93265993],[73.58024691 49.18069585 68.05836139 76.02693603]
