,dataset,anticausal,causal,algorithm
186,laplace,73.2909858368576,78.63484897960755,autoLFADS
187,laplace,73.32334909854279,61.916488674279904,autoLFADS
188,laplace,71.07876605268311,69.56442146411412,autoLFADS
189,laplace,74.320331806066,84.51672288226753,autoLFADS
190,laplace,69.74894564176878,75.7266210306655,autoLFADS
191,laplace,72.78006512816422,83.60604559771205,autoLFADS
192,laplace,75.30718011815054,64.07893546353421,autoLFADS
193,laplace,66.40627540578178,79.77474200984315,autoLFADS
194,laplace,68.92717406449918,81.50090771591327,autoLFADS
195,laplace,69.01936132241555,80.88119405699321,autoLFADS
196,laplace,68.41208517063976,80.63167408243199,autoLFADS
197,laplace,72.63900591533776,83.88658373070152,autoLFADS
198,laplace,73.64559601268739,85.3270434981668,autoLFADS
199,laplace,64.78205746024757,77.93062889739724,autoLFADS
200,poisson,86.98485632653443,85.62764168243814,autoLFADS
201,poisson,85.16800641104206,87.16450355242758,autoLFADS
202,poisson,85.7484984152219,82.81903484646439,autoLFADS
203,poisson,85.86769521853425,76.87220572862941,autoLFADS
204,poisson,86.16109396998328,89.37739104834574,autoLFADS
205,poisson,86.48296801173842,80.79353909587155,autoLFADS
206,poisson,86.11895026395875,83.55768796196992,autoLFADS
207,poisson,86.26195241002735,87.13339105946338,autoLFADS
208,poisson,85.99743859248663,77.5210037332851,autoLFADS
209,poisson,87.42803908801578,79.22231064939773,autoLFADS
210,poisson,87.04836768226963,83.62221720189449,autoLFADS
211,poisson,86.01572939465841,81.97114966606269,autoLFADS
212,poisson,86.3975209864809,88.23682935767498,autoLFADS
213,poisson,86.78155937002956,83.17885590647877,autoLFADS
214,poisson,85.19599865243931,80.59886738170496,autoLFADS
215,poisson,84.89763971535073,85.56792074605583,autoLFADS
216,poisson,86.43487259493212,78.40456636637856,autoLFADS
217,poisson,86.2796091279585,79.62147819268944,autoLFADS
218,poisson,86.92632454653177,77.95156319556763,autoLFADS
219,poisson,85.63459503634066,84.96842649749166,autoLFADS
220,poisson,86.96371475244129,87.15148829136541,autoLFADS
221,poisson,86.2937992716418,87.69790765789833,autoLFADS
222,poisson,86.85517483308594,82.13043449568256,autoLFADS
223,poisson,86.87144239460167,77.71815807567499,autoLFADS
224,poisson,85.59520307232332,74.29035111312523,autoLFADS
225,poisson,86.20134337503207,77.23229573891862,autoLFADS
226,poisson,84.17597575032231,81.57311288292637,autoLFADS
227,poisson,84.54312419329764,87.08132014162673,autoLFADS
228,poisson,86.13806656529383,83.76264189971829,autoLFADS
229,poisson,85.05906496636491,75.63019224466657,autoLFADS
230,poisson,76.55659338557135,90.00938781684806,autoLFADS
231,poisson,83.88235301756148,86.78753004068072,autoLFADS
232,poisson,86.48716435799093,82.79684597693702,autoLFADS
233,poisson,85.75662400322075,75.18000402375733,autoLFADS
234,poisson,85.89120922767555,79.7592862913084,autoLFADS
235,poisson,86.06887507120359,76.91035134895489,autoLFADS
236,poisson,86.71227203900946,80.88558280871896,autoLFADS
237,poisson,85.64547784631753,77.76870968426893,autoLFADS
238,poisson,85.16194042853947,74.35916661302417,autoLFADS
239,poisson,85.69570832664266,82.40094577703474,autoLFADS
240,poisson,79.12916649840115,88.60627951321757,autoLFADS
241,poisson,86.40208733014457,88.62300949874921,autoLFADS
242,poisson,85.4679519047322,76.42807132927305,autoLFADS
243,poisson,86.40936746467627,79.27143821862708,autoLFADS
244,poisson,85.67705394793201,84.65845141586902,autoLFADS
245,poisson,85.90122314359083,83.91577165031325,autoLFADS
246,poisson,85.54406191018352,86.14036295280644,autoLFADS
247,poisson,86.36305613537272,77.07856740066825,autoLFADS
248,poisson,86.41581188842737,87.12037254051866,autoLFADS
249,poisson,84.96216832079162,73.53754516708561,autoLFADS
250,poisson,85.76146565768687,82.89919906488683,autoLFADS
251,poisson,86.24830441740761,78.288651829919,autoLFADS
252,poisson,86.2375546401935,81.6780688153393,autoLFADS
253,poisson,86.70991316700767,87.614246288174,autoLFADS
254,poisson,85.70394384877687,81.68238365245881,autoLFADS
255,poisson,86.12051440320414,87.88734793432192,autoLFADS
256,poisson,80.6905715219395,88.33992380329569,autoLFADS
257,poisson,85.91758833269793,81.07099059106004,autoLFADS
258,poisson,85.99104811540525,84.41506528678576,autoLFADS
259,poisson,86.32226490670088,87.99914310767764,autoLFADS
260,poisson,84.86803423309242,88.88539213293501,autoLFADS
261,poisson,85.39296857550063,86.1772791851914,autoLFADS
262,poisson,86.17831435203993,88.70740187073977,autoLFADS
263,poisson,85.13306837720249,85.34211560665368,autoLFADS
264,poisson,86.19851889731976,76.47359299553914,autoLFADS
265,poisson,86.54892287313587,79.91593238235798,autoLFADS
266,poisson,86.94255151574721,79.74078669762825,autoLFADS
267,poisson,86.61025830665336,84.5523137394826,autoLFADS
268,poisson,83.36229770111021,85.49227351778596,autoLFADS
269,poisson,84.90817332463965,80.81471109323759,autoLFADS
270,poisson,85.8905123709626,85.23806122227164,autoLFADS
271,poisson,88.16124648970182,86.88667367916993,autoLFADS
272,poisson,85.04456001248181,84.65591506132941,autoLFADS
273,poisson,84.35847257926713,87.94002303495677,autoLFADS
274,poisson,83.75879218556763,69.92689782813513,autoLFADS
275,poisson,86.30469955279443,80.6346999024919,autoLFADS
276,poisson,86.28672607642203,89.55717891514708,autoLFADS
277,poisson,86.91804296133023,78.63244534333013,autoLFADS
278,poisson,86.22560818010581,84.28350604071264,autoLFADS
279,poisson,85.78801474996818,88.96605923147315,autoLFADS
280,poisson,86.18699533456827,78.8298399113873,autoLFADS
281,poisson,85.97015134863868,79.93347478035673,autoLFADS
282,poisson,86.10534099112613,86.20898164210142,autoLFADS
283,poisson,86.34312902134592,79.25045902292295,autoLFADS
284,poisson,86.31877039156122,76.3020382886505,autoLFADS
285,poisson,85.93882500431431,83.00090925837867,autoLFADS
286,poisson,85.63053237568133,79.34432953496655,autoLFADS
287,poisson,87.21868544788695,79.09962536307353,autoLFADS
288,poisson,86.30968140511182,76.98173132705766,autoLFADS
289,poisson,77.11563909054047,88.3271683767515,autoLFADS
290,poisson,86.76372768934671,77.92842204755125,autoLFADS
291,poisson,86.77093255376967,80.47439479387863,autoLFADS
292,poisson,84.27074149712978,83.22660522928153,autoLFADS
293,poisson,85.03792429497084,86.71955612817321,autoLFADS
294,poisson,84.89677254620732,86.17142617178256,autoLFADS
295,poisson,85.64540026688829,79.5824325292139,autoLFADS
296,poisson,86.1503148733014,87.15505628796676,autoLFADS
297,poisson,86.78385424328232,82.7936456623242,autoLFADS
298,poisson,84.96715667215491,87.30845642193063,autoLFADS
299,poisson,85.61317124448458,81.89303087344284,autoLFADS
300,uniform,82.74000927273053,91.3713889988201,autoLFADS
301,uniform,86.78269667895367,91.14005121554452,autoLFADS
302,uniform,88.75049591341767,93.3853058685575,autoLFADS
303,uniform,82.65144910526558,82.9140836436173,autoLFADS
304,uniform,84.78923279318566,88.80334371601148,autoLFADS
305,uniform,86.13045082204043,90.05738412587309,autoLFADS
306,uniform,86.70732477244806,90.76940401447023,autoLFADS
307,uniform,92.72267179543947,91.11333286932275,autoLFADS
308,uniform,83.76957567280134,90.12828119716364,autoLFADS
309,uniform,82.83978663358616,89.6076748303456,autoLFADS
310,uniform,84.8245010475006,77.04780742949414,autoLFADS
311,uniform,83.83134003744362,84.87806680603127,autoLFADS
312,uniform,88.73859968836877,92.39598517754789,autoLFADS
313,uniform,87.43834570838176,82.5222208593162,autoLFADS
314,uniform,90.10890129085891,85.7559216185959,autoLFADS
315,uniform,89.55315851073154,92.16918828798335,autoLFADS
316,uniform,90.48645455847264,91.40379023412888,autoLFADS
317,uniform,78.67782515670801,88.64089750623177,autoLFADS
318,uniform,86.00136757300344,91.19125874326902,autoLFADS
319,uniform,89.32201404598537,82.0978359675115,autoLFADS
320,uniform,91.28471837267978,89.14570079153877,autoLFADS
321,uniform,82.48742779045462,90.36928036354948,autoLFADS
322,uniform,90.45047563020694,88.97706200806547,autoLFADS
323,uniform,90.10170568975026,91.98174195273697,autoLFADS
324,uniform,80.7576565438189,77.77397252852668,autoLFADS
325,uniform,86.78621682623657,82.07959181931969,autoLFADS
326,uniform,89.52560714614944,93.1046211316003,autoLFADS
327,uniform,80.33124396760701,85.48396726688989,autoLFADS
328,uniform,84.09460698893284,86.52267114963337,autoLFADS
329,uniform,87.20161595570775,89.60712412700641,autoLFADS
330,uniform,76.66087420060106,73.95173282513483,autoLFADS
331,uniform,88.11346421786698,89.40478041941668,autoLFADS
332,uniform,80.97280928164557,79.65651697298289,autoLFADS
333,uniform,87.0040263513474,94.4274137395181,autoLFADS
334,uniform,90.83961069916246,92.75044586051717,autoLFADS
335,uniform,88.17080943518589,92.25141158320783,autoLFADS
336,uniform,88.9258117803251,90.90967493662063,autoLFADS
337,uniform,88.91960679482618,91.67284357588109,autoLFADS
338,uniform,87.32822045253666,86.47412028444987,autoLFADS
339,uniform,87.96327641146321,89.0196821831751,autoLFADS
340,uniform,90.49087085265693,85.84127162662128,autoLFADS
341,uniform,86.2642353312518,90.85181191711817,autoLFADS
342,uniform,89.508272945502,93.47999554560829,autoLFADS
343,uniform,85.61750164029398,88.7395081298457,autoLFADS
344,uniform,83.23312046831303,77.076126581569,autoLFADS
345,uniform,85.0865947596138,83.84906290065888,autoLFADS
346,uniform,85.38713215569705,86.83381662397981,autoLFADS
347,uniform,86.89789114346492,85.78017856831111,autoLFADS
348,uniform,91.0008049954406,93.31262180130447,autoLFADS
349,uniform,87.60739067183391,93.0140822752366,autoLFADS
